labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_8C_R,Area 8C (Right),Ctx_8C_R,,,Glasser2016+Petre2023_vol_proj
Ctx_44_R,Area 44 (Right),Ctx_44_R,,,Glasser2016+Petre2023_vol_proj
Ctx_45_R,Area 45 (Right),Ctx_45_R,,,Glasser2016+Petre2023_vol_proj
Ctx_47l_R,Area 47 lateral (Right),Ctx_47l_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a47r_R,Area anterior 47r (Right),Ctx_a47r_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6r_R,Rostral Area 6 (Right),Ctx_6r_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IFJa_R,Area IF Ja (Right),Ctx_IFJa_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IFJp_R,Area IF Jp (Right),Ctx_IFJp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IFSp_R,Area IF Sp (Right),Ctx_IFSp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IFSa_R,Area IFSa (Right),Ctx_IFSa_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p9_46v_R,Area posterior 9-46v (Right),Ctx_p9_46v_R,,,Glasser2016+Petre2023_vol_proj
Ctx_46_R,Area 46 (Right),Ctx_46_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a9_46v_R,Area anterior 9-46v (Right),Ctx_a9_46v_R,,,Glasser2016+Petre2023_vol_proj
Ctx_9_46d_R,Area 9-46d (Right),Ctx_9_46d_R,,,Glasser2016+Petre2023_vol_proj
Ctx_9a_R,Area 9 anterior (Right),Ctx_9a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_10v_R,Area 10v (Right),Ctx_10v_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a10p_R,Area anterior 10p (Right),Ctx_a10p_R,,,Glasser2016+Petre2023_vol_proj
Ctx_10pp_R,Polar 10p (Right),Ctx_10pp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_11l_R,Area 11l (Right),Ctx_11l_R,,,Glasser2016+Petre2023_vol_proj
Ctx_13l_R,Area 13l (Right),Ctx_13l_R,,,Glasser2016+Petre2023_vol_proj
Ctx_OFC_R,Orbital Frontal Complex (Right),Ctx_OFC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_47s_R,Area 47s (Right),Ctx_47s_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LIPd_R,Area Lateral IntraParietal dorsal (Right),Ctx_LIPd_R,,,Glasser2016+Petre2023_vol_proj
Ctx_6a_R,Area 6 anterior (Right),Ctx_6a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_i6_8_R,Inferior 6-8 Transitional Area (Right),Ctx_i6_8_R,,,Glasser2016+Petre2023_vol_proj
Ctx_s6_8_R,Superior 6-8 Transitional Area (Right),Ctx_s6_8_R,,,Glasser2016+Petre2023_vol_proj
Ctx_43_R,Area 43 (Right),Ctx_43_R,,,Glasser2016+Petre2023_vol_proj
Ctx_OP4_R,Area OP4/PV (Right),Ctx_OP4_R,,,Glasser2016+Petre2023_vol_proj
Ctx_OP1_R,Area OP1/SII (Right),Ctx_OP1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_OP2_3_R,Area OP2-3/VS (Right),Ctx_OP2_3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_52_R,Area 52 (Right),Ctx_52_R,,,Glasser2016+Petre2023_vol_proj
Ctx_RI_R,RetroInsular Cortex (Right),Ctx_RI_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PFcm_R,Area Pfcm (Right),Ctx_PFcm_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PoI2_R,Posterior Insular Area 2 (Right),Ctx_PoI2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TA2_R,Area TA2 (Right),Ctx_TA2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP4_R,Frontal Opercular Area 4 (Right),Ctx_FOP4_R,,,Glasser2016+Petre2023_vol_proj
Ctx_MI_R,Middle Insular Area (Right),Ctx_MI_R,,,Glasser2016+Petre2023_vol_proj
Ctx_Pir_R,Pirform Cortex (Right),Ctx_Pir_R,,,Glasser2016+Petre2023_vol_proj
Ctx_AVI_R,Anterior Ventral Insular Area (Right),Ctx_AVI_R,,,Glasser2016+Petre2023_vol_proj
Ctx_AAIC_R,Anterior Agranular Insular Complex (Right),Ctx_AAIC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP1_R,Frontal Opercular Area 1 (Right),Ctx_FOP1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP3_R,Frontal Opercular Area 3 (Right),Ctx_FOP3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP2_R,Frontal Opercular Area 2 (Right),Ctx_FOP2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PFt_R,Area PFt (Right),Ctx_PFt_R,,,Glasser2016+Petre2023_vol_proj
Ctx_AIP_R,Anterior IntraParietal Area (Right),Ctx_AIP_R,,,Glasser2016+Petre2023_vol_proj
Ctx_EC_R,Entorhinal Cortex (Right),Ctx_EC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PreS_R,PreSubiculum (Right),Ctx_PreS_R,,,Glasser2016+Petre2023_vol_proj
Ctx_ProS_R,Prostriate Area (Right),Ctx_ProS_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PeEc_R,Perirhinal Ectorhinal Cortex (Right),Ctx_PeEc_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STGa_R,Area STGa (Right),Ctx_STGa_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PBelt_R,ParaBelt Complex (Right),Ctx_PBelt_R,,,Glasser2016+Petre2023_vol_proj
Ctx_A5_R,Auditory 5 Complex (Right),Ctx_A5_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA1_R,ParaHippocampal Area 1 (Right),Ctx_PHA1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA3_R,ParaHippocampal Area 3 (Right),Ctx_PHA3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STSda_R,Area STSd anterior (Right),Ctx_STSda_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STSdp_R,Area STSd posterior (Right),Ctx_STSdp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STSvp_R,Area STSv posterior (Right),Ctx_STSvp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TGd_R,Area TG dorsal (Right),Ctx_TGd_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1a_R,Area TE1 anterior (Right),Ctx_TE1a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1p_R,Area TE1 posterior (Right),Ctx_TE1p_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TE2a_R,Area TE2 anterior (Right),Ctx_TE2a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TF_R,Area TF (Right),Ctx_TF_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TE2p_R,Area TE2 posterior (Right),Ctx_TE2p_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PHT_R,Area PHT (Right),Ctx_PHT_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PH_R,Area PH (Right),Ctx_PH_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ1_R,Area TemporoParietoOccipital Junction 1 (Right),Ctx_TPOJ1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ2_R,Area TemporoParietoOccipital Junction 2 (Right),Ctx_TPOJ2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TPOJ3_R,Area TemporoParietoOccipital Junction 3 (Right),Ctx_TPOJ3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_DVT_R,Dorsal Transitional Visual Area (Right),Ctx_DVT_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PGp_R,Area Pgp (Right),Ctx_PGp_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IP2_R,Area IntraParietal 2 (Right),Ctx_IP2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IP1_R,Area IntraParietal 1 (Right),Ctx_IP1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_IP0_R,Area IntraParietal 0 (Right),Ctx_IP0_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PFop_R,Area PF Opercular (Right),Ctx_PFop_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PF_R,Area PF Complex (Right),Ctx_PF_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PFm_R,Area PFm Complex (Right),Ctx_PFm_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PGi_R,Are Pgi (Right),Ctx_PGi_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PGs_R,Area Pgs (Right),Ctx_PGs_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V6A_R,Area V6A (Right),Ctx_V6A_R,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV1_R,VentroMedial Visual Area 1 (Right),Ctx_VMV1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV3_R,VentroMedial Visual Area 3 (Right),Ctx_VMV3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PHA2_R,ParaHippocampal Area 2 (Right),Ctx_PHA2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V4t_R,Area V4t (Right),Ctx_V4t_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FST_R,Area FST (Right),Ctx_FST_R,,,Glasser2016+Petre2023_vol_proj
Ctx_V3CD_R,Area v3CD (Right),Ctx_V3CD_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LO3_R,Area Lateral Occipital 3 (Right),Ctx_LO3_R,,,Glasser2016+Petre2023_vol_proj
Ctx_VMV2_R,VentroMedial Visual Area 2 (Right),Ctx_VMV2_R,,,Glasser2016+Petre2023_vol_proj
Ctx_31pd_R,Area 31pd (Right),Ctx_31pd_R,,,Glasser2016+Petre2023_vol_proj
Ctx_31a_R,Area 31a (Right),Ctx_31a_R,,,Glasser2016+Petre2023_vol_proj
Ctx_VVC_R,Ventral Visual Complex (Right),Ctx_VVC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_25_R,Area 25 (Right),Ctx_25_R,,,Glasser2016+Petre2023_vol_proj
Ctx_s32_R,Area s32 (Right),Ctx_s32_R,,,Glasser2016+Petre2023_vol_proj
Ctx_pOFC_R,posterior OFC Complex (Right),Ctx_pOFC_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PoI1_R,Area Posterior Insular 1 (Right),Ctx_PoI1_R,,,Glasser2016+Petre2023_vol_proj
Ctx_Ig_R,Insular Granular Complex (Right),Ctx_Ig_R,,,Glasser2016+Petre2023_vol_proj
Ctx_FOP5_R,Area Frontal Opercular 5 (Right),Ctx_FOP5_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p10p_R,Area posterior 10p (Right),Ctx_p10p_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p47r_R,Area posterior 47r (Right),Ctx_p47r_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TGv_R,Area TG Ventral (Right),Ctx_TGv_R,,,Glasser2016+Petre2023_vol_proj
Ctx_MBelt_R,Medial Belt Complex (Right),Ctx_MBelt_R,,,Glasser2016+Petre2023_vol_proj
Ctx_LBelt_R,Lateral Belt Complex (Right),Ctx_LBelt_R,,,Glasser2016+Petre2023_vol_proj
Ctx_A4_R,Auditory 4 Complex (Right),Ctx_A4_R,,,Glasser2016+Petre2023_vol_proj
Ctx_STSva_R,Area STSv anterior (Right),Ctx_STSva_R,,,Glasser2016+Petre2023_vol_proj
Ctx_TE1m_R,Area TE1 Middle (Right),Ctx_TE1m_R,,,Glasser2016+Petre2023_vol_proj
Ctx_PI_R,Para-Insular Area (Right),Ctx_PI_R,,,Glasser2016+Petre2023_vol_proj
Ctx_a32pr_R,Area anterior 32 prime (Right),Ctx_a32pr_R,,,Glasser2016+Petre2023_vol_proj
Ctx_p24_R,Area posterior 24 (Right),Ctx_p24_R,,,Glasser2016+Petre2023_vol_proj
Bstem_SNc_L,Substantia Nigra pars compacta (left),SNc_L,SN_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_RN_L,Red nucleus (left),RN_L,RN_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_SNr_L,Substantia Nigra pars reticulata (left),SNr_L,SN_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_PBP_L,Parabrachial Pigmented Nucleus (left),PBP_L,PBP_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_VTA_L,Ventral Tegmental Area (left),VTA_L,VTA_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Mamm_Nuc_L,Mammilary nuclei (left),Mamm_Nuc_L,Mamm_Nuc_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_STH_L,Subthalamic nucleus (left),STH_L,STH_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Bstem_SNc_R,Substantia Nigra pars compacta (right),SNc_R,SN_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_RN_R,Red nucleus (right),RN_R,RN_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_SNr_R,Substantia Nigra pars reticulata (right),SNr_R,SN_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_PBP_R,Parabrachial Pigmented Nucleus (right),PBP_R,PBP_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_VTA_R,Ventral Tegmental Area (right),VTA_R,VTA_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Mamm_Nuc_R,Mammilary nuclei (right),Mamm_Nuc_R,Mamm_Nuc_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_STH_R,Subthalamic nucleus (right),STH_R,STH_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Bstem_Midbrd_L,Region 251 from Shen_MNI152NLin6Asym (left),R_251_Network_4_L,Network_4_L,Diencephalon,Shen 268 parcellation (dilated)
Bstem_Midbd_L,Region 259 from Shen_MNI152NLin6Asym (left),R_259_Network_4_L,Network_4_L,Brainstem,Shen 268 parcellation (dilated)
Bstem_Midbrd_R,Region 126 from Shen_MNI152NLin6Asym (right),R_126_Network_4_R,Network_4_R,Diencephalon,Shen 268 parcellation (dilated)
Bstem_Midbd_R,Region 132 from Shen_MNI152NLin6Asym (right),R_132_Network_4_R,Network_4_R,Brainstem,Shen 268 parcellation (dilated)
Bstem_Ponscd_L,Region 263 from Shen_MNI152NLin6Asym (left),R_263_Network_4_L,Network_4_L,Brainstem,Shen 268 parcellation (dilated)
Bstem_Ponscv_L,Region 265 from Shen_MNI152NLin6Asym (left),R_265_Network_4_L,Network_4_L,Brainstem,Shen 268 parcellation (dilated)
Bstem_Pons_R,Region 130 from Shen_MNI152NLin6Asym (right),R_130_Network_4_R,Network_4_R,Brainstem,Shen 268 parcellation (dilated)
Bstem_Ponscv_R,Region 131 from Shen_MNI152NLin6Asym (right),R_131_Network_4_R,Network_4_R,Brainstem,Shen 268 parcellation (dilated)
Bstem_Ponscd_R,Region 133 from Shen_MNI152NLin6Asym (right),R_133_Network_4_R,Network_4_R,Brainstem,Shen 268 parcellation (dilated)
Bstem_Med_L,Region 262 from Shen_MNI152NLin6Asym (left),R_262_Network_4_L,Network_4_L,Brainstem,Shen 268 parcellation (dilated)
Bstem_Med_R,Region 129 from Shen_MNI152NLin6Asym (right),R_129_Network_4_R,Network_4_R,Brainstem,Shen 268 parcellation (dilated)
Thal_PuA_1,Anterior pulvinar (left),Thal_L_PuA,Thal_Pulvinar_L,Thalamus_L,Morel2010
Thal_PuI_1,Inferior pulvinar (left),Thal_L_PuI,Thal_Pulvinar_L,Thalamus_L,Morel2010
Thal_PuL_1,Lateral pulvinar (left),Thal_L_PuL,Thal_Pulvinar_L,Thalamus_L,Morel2010
Thal_PuM_1,Medial pulvinar (left),Thal_L_PuM,Thal_Pulvinar_L,Thalamus_L,Morel2010
Thal_PuA_1,Anterior pulvinar (right),Thal_R_PuA,Thal_Pulvinar_R,Thalamus_R,Morel2010
Thal_PuI_1,Inferior pulvinar (right),Thal_R_PuI,Thal_Pulvinar_R,Thalamus_R,Morel2010
Thal_PuL_1,Lateral pulvinar (right),Thal_R_PuL,Thal_Pulvinar_R,Thalamus_R,Morel2010
Thal_PuM_1,Medial pulvinar (right),Thal_R_PuM,Thal_Pulvinar_R,Thalamus_R,Morel2010
Thal_LGNmc_1,Lateral geniculate nucleus (magnocellular) (left),Thal_L_LGNmc,Thal_Lateral_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_LGNpc_1,Lateral geniculate nucleus (parvocellular) (left),Thal_L_LGNpc,Thal_Lateral_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_LGNmc_1,Lateral geniculate nucleus (magnocellular) (right),Thal_R_LGNmc,Thal_Lateral_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_LGNpc_1,Lateral geniculate nucleus (parvocellular) (right),Thal_R_LGNpc,Thal_Lateral_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_Li_1,Limitans nucleus (left),Thal_L_Li,Thal_Medial_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_MGN_1,Medial geniculate nucleus (left),Thal_L_MGN,Thal_Medial_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_Po_1,Posterior nucleus (left),Thal_L_Po,Thal_Medial_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_SG_1,Suprageniculate nucleus (left),Thal_L_SG,Thal_Medial_Geniculate_Nucleus_L,Thalamus_L,Morel2010
Thal_Li_1,Limitans nucleus (right),Thal_R_Li,Thal_Medial_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_MGN_1,Medial geniculate nucleus (right),Thal_R_MGN,Thal_Medial_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_Po_1,Posterior nucleus (right),Thal_R_Po,Thal_Medial_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_SG_1,Suprageniculate nucleus (right),Thal_R_SG,Thal_Medial_Geniculate_Nucleus_R,Thalamus_R,Morel2010
Thal_CeM_1,Central medial nucleus (left),Thal_L_CeM,Thal_Intralaminar_L,Thalamus_L,Morel2010
Thal_CL_1,Central lateral nucleus (left),Thal_L_CL,Thal_Intralaminar_L,Thalamus_L,Morel2010
Thal_CM_1,Centre median nucleus (left),Thal_L_CM,Thal_Intralaminar_L,Thalamus_L,Morel2010
Thal_MV_1,Medioventral nucleus (left),Thal_L_MV,Thal_Intralaminar_L,Thalamus_L,Morel2010
Thal_Pf_1,Parafascicular nucleus (left),Thal_L_Pf,Thal_Intralaminar_L,Thalamus_L,Morel2010
Thal_CeM_1,Central medial nucleus (right),Thal_R_CeM,Thal_Intralaminar_R,Thalamus_R,Morel2010
Thal_CL_1,Central lateral nucleus (right),Thal_R_CL,Thal_Intralaminar_R,Thalamus_R,Morel2010
Thal_CM_1,Centre median nucleus (right),Thal_R_CM,Thal_Intralaminar_R,Thalamus_R,Morel2010
Thal_MV_1,Medioventral nucleus (right),Thal_R_MV,Thal_Intralaminar_R,Thalamus_R,Morel2010
Thal_Pf_1,Parafascicular nucleus (right),Thal_R_Pf,Thal_Intralaminar_R,Thalamus_R,Morel2010
Thal_AD_1,Anterior dorsal nucleus (left),Thal_L_AD,Thal_Anterior_L,Thalamus_L,Morel2010
Thal_AM_1,Anterior medial nucleus (left),Thal_L_AM,Thal_Anterior_L,Thalamus_L,Morel2010
Thal_AV_1,Anterior ventral nucleus (left),Thal_L_AV,Thal_Anterior_L,Thalamus_L,Morel2010
Thal_AD_1,Anterior dorsal nucleus (right),Thal_R_AD,Thal_Anterior_R,Thalamus_R,Morel2010
Thal_AM_1,Anterior medial nucleus (right),Thal_R_AM,Thal_Anterior_R,Thalamus_R,Morel2010
Thal_AV_1,Anterior ventral nucleus (right),Thal_R_AV,Thal_Anterior_R,Thalamus_R,Morel2010
Thal_LP_1,Lateral posterior nucleus (left),Thal_L_LP,Thal_Lateral_Posterior_L,Thalamus_L,Morel2010
Thal_LP_1,Lateral posterior nucleus (right),Thal_R_LP,Thal_Lateral_Posterior_R,Thalamus_R,Morel2010
Thal_LD_1,Lateral dorsl nucleus (left),Thal_L_LD,Thal_Lateral_dorsal_L,Thalamus_L,Morel2010
Thal_LD_1,Lateral dorsl nucleus (right),Thal_R_LD,Thal_Lateral_dorsal_R,Thalamus_R,Morel2010
Thal_MDmc_1,Medial dorsal nucleus (magnocellular) (left),Thal_L_MDmc,Thal_Mediodorsal_L,Thalamus_L,Morel2010
Thal_MDpc_1,Medial dorsal nucleus (parvocellular) (left),Thal_L_MDpc,Thal_Mediodorsal_L,Thalamus_L,Morel2010
Thal_MDmc_1,Medial dorsal nucleus (magnocellular) (right),Thal_R_MDmc,Thal_Mediodorsal_R,Thalamus_R,Morel2010
Thal_MDpc_1,Medial dorsal nucleus (parvocellular) (right),Thal_R_MDpc,Thal_Mediodorsal_R,Thalamus_R,Morel2010
Thal_VPI_1,Ventral posterior inferior nucleus (left),Thal_L_VPI,Thal_Ventral_posterior_L,Thalamus_L,Morel2010
Thal_VPLa_1,Ventral posterior lateral nucleus (anterior part) (left),Thal_L_VPLa,Thal_Ventral_posterior_L,Thalamus_L,Morel2010
Thal_VPLp_1,Ventral posterior lateral nucleus (posterior part) (left),Thal_L_VPLp,Thal_Ventral_posterior_L,Thalamus_L,Morel2010
Thal_VPM_1,Ventral posterior medial nucleus (left),Thal_L_VPM,Thal_Ventral_posterior_L,Thalamus_L,Morel2010
Thal_VPI_1,Ventral posterior inferior nucleus (right),Thal_R_VPI,Thal_Ventral_posterior_R,Thalamus_R,Morel2010
Thal_VPLa_1,Ventral posterior lateral nucleus (anterior part) (right),Thal_R_VPLa,Thal_Ventral_posterior_R,Thalamus_R,Morel2010
Thal_VPLp_1,Ventral posterior lateral nucleus (posterior part) (right),Thal_R_VPLp,Thal_Ventral_posterior_R,Thalamus_R,Morel2010
Thal_VPM_1,Ventral posterior medial nucleus (right),Thal_R_VPM,Thal_Ventral_posterior_R,Thalamus_R,Morel2010
Thal_VAmc_1,Ventral anterior nucleus (magnocellular) (left),Thal_L_VAmc,Thal_Ventral_anterior_L,Thalamus_L,Morel2010
Thal_VApc_1,Ventral anterior nucleus (parvocellular) (left),Thal_L_VApc,Thal_Ventral_anterior_L,Thalamus_L,Morel2010
Thal_VAmc_1,Ventral anterior nucleus (magnocellular) (right),Thal_R_VAmc,Thal_Ventral_anterior_R,Thalamus_R,Morel2010
Thal_VApc_1,Ventral anterior nucleus (parvocellular) (right),Thal_R_VApc,Thal_Ventral_anterior_R,Thalamus_R,Morel2010
Thal_VLa_1,Ventral lateral anterior nucleus (left),Thal_L_VLa,Thal_Ventral_lateral_medial_L,Thalamus_L,Morel2010
Thal_VLpd_1,Ventral lateral posterior nucleus (drosal part) (left),Thal_L_VLpd,Thal_Ventral_lateral_medial_L,Thalamus_L,Morel2010
Thal_VLpv_1,Ventral lateral posterior nucleus (ventral part) (left),Thal_L_VLpv,Thal_Ventral_lateral_medial_L,Thalamus_L,Morel2010
Thal_VM_1,Ventral medial nucleus (left),Thal_L_VM,Thal_Ventral_lateral_medial_L,Thalamus_L,Morel2010
Thal_VLa_1,Ventral lateral anterior nucleus (right),Thal_R_VLa,Thal_Ventral_lateral_medial_R,Thalamus_R,Morel2010
Thal_VLpd_1,Ventral lateral posterior nucleus (drosal part) (right),Thal_R_VLpd,Thal_Ventral_lateral_medial_R,Thalamus_R,Morel2010
Thal_VLpv_1,Ventral lateral posterior nucleus (ventral part) (right),Thal_R_VLpv,Thal_Ventral_lateral_medial_R,Thalamus_R,Morel2010
Thal_VM_1,Ventral medial nucleus (right),Thal_R_VM,Thal_Ventral_lateral_medial_R,Thalamus_R,Morel2010
Hythal_L,Hypothalamus (left),Hythal_L,Hythal_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Hythal_R,Hypothalamus (right),Hythal_R,Hythal_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
Haben_L,Habenula (left),Haben_L,Haben_L,Diencephalic_nuclei_L,CIT168 v1.1.0 subcortical
Haben_R,Habenula (right),Haben_R,Haben_R,Diencephalic_nuclei_R,CIT168 v1.1.0 subcortical
CA2_1,Left hippocampal cornu ammonis 1,L_CA,L_Hipp,L_Hippocampal_Formation,Julich/Amunts
CA3_1,Left hippocampal cornu ammonis 1,L_CA,L_Hipp,L_Hippocampal_Formation,Julich/Amunts
DG_1,Left hippocampal dentate gyrus,L_DG,L1_Hipp,L_Hippocampal_Formation,Julich/Amunts
CA1_1,Left hippocampal cornu ammonis 1,L_CA,L_Hipp,L_Hippocampal_Formation,Julich/Amunts
Subiculum_1,Left hippocampal subiculum,L_Subiculum,L_Subiculum,L_Hippocampal_Formation,Julich/Amunts
CA2_1,Right hippocampal cornu ammonis 1,R_CA,R_Hipp,R_Hippocampal_Formation,Julich/Amunts
CA3_1,Right hippocampal cornu ammonis 1,R_CA,R_Hipp,R_Hippocampal_Formation,Julich/Amunts
DG_1,Right hippocampal dentate gyrus,R_DG,R1_Hipp,R_Hippocampal_Formation,Julich/Amunts
CA1_1,Right hippocampal cornu ammonis 1,R_CA,R_Hipp,R_Hippocampal_Formation,Julich/Amunts
Subiculum_1,Right hippocampal subiculum,R_Subiculum,R_Subiculum,R_Hippocampal_Formation,Julich/Amunts
AMY_BLN_La,Amygdalar basolateral complex: lateral nucleus,AMY_BLN_La,BL,Amygdala,CIT168 amydala v1.0.3
AMY_BLN_BL_BLDI,Amygdalar basolateral complex: basal nucleus,AMY_BLN_BL_BLDI,BL,Amygdala,CIT168 amydala v1.0.3
AMY_BLN_BM,Amygdalar basolateral complex: accessory basal nucleus,AMY_BLN_BM,BL,Amygdala,CIT168 amydala v1.0.3
AMY_CEN,Amygdalar central nucleus,AMY_CEN,CE,Amygdala,CIT168 amydala v1.0.3
AMY_CMN,Amygdalar corticomedial group: medial nucleus,AMY_CMN,CM,Amygdala,CIT168 amydala v1.0.3
AMY_BL_BLV,Amygdalar basolateral complex: paralaminar nucleus,AMY_BL_BLV,BL,Amygdala,CIT168 amydala v1.0.3
AMY_ATA,Amygdalar corticomedial group: periamygdaloid cortex,AMY_ATA,CM,Amygdala,CIT168 amydala v1.0.3
AMY_ATA_ASTA,Amygdalostriatal triansition area,AMY_ATA_ASTA,CE,Amygdala,CIT168 amydala v1.0.3
AMY_AAA,Anteroir amygdaloid area,AMY_AAA,CE,Amygdala,CIT168 amydala v1.0.3
AMY,Amygdalar intercalated nuclei,AMY,CE,Amygdala,CIT168 amydala v1.0.3
BST_SLEA_L,Extended Amygdala: Bed Nuclei of the Stria Terminalis (BNST) and Sublenticular Extended Amygdala (SLEA) (left),BST_SLEA,BST_SLEA,NAc,CIT168 v1.1.0
BST_SLEA_R,Extended Amygdala: Bed Nuclei of the Stria Terminalis (BNST) and Sublenticular Extended Amygdala (SLEA) (right),BST_SLEA,BST_SLEA,NAc,CIT168 v1.1.0
NAc_shell_R,Region 24 from tian_3t_fsl6,NAc_shell_R,NAc_shell_R,NAc_R,Tian
NAc_core_R,Region 25 from tian_3t_fsl6,NAc_core_R,NAc_core_R,NAc_R,Tian
NAc_shell_L,Region 51 from tian_3t_fsl6,NAc_shell_L,NAc_shell_L,NAc_L,Tian
NAc_core_L,Region 52 from tian_3t_fsl6,NAc_core_L,NAc_core_L,NAc_L,Tian
CAU_VA_R,Region 17 from tian_3t_fsl6,CAU_VA_R,aCAU_R,CAU_R,Tian
CAU_DA_R,Region 18 from tian_3t_fsl6,CAU_DA_R,aCAU_R,CAU_R,Tian
