labels,label_descriptions,labels_2,labels_3,labels_4,labels_5
Ctx_10pp_R,Region 270 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_11l_R,Region 271 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_13l_R,Region 272 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OFC_R,Region 273 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_47s_R,Region 274 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LIPd_R,Region 275 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_6a_R,Region 276 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_i6_8_R,Region 277 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_s6_8_R,Region 278 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_43_R,Region 279 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP4_R,Region 280 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP1_R,Region 281 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_OP2_3_R,Region 282 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_52_R,Region 283 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_RI_R,Region 284 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFcm_R,Region 285 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PoI2_R,Region 286 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TA2_R,Region 287 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP4_R,Region 288 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MI_R,Region 289 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_Pir_R,Region 290 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AVI_R,Region 291 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AAIC_R,Region 292 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP1_R,Region 293 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP3_R,Region 294 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP2_R,Region 295 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFt_R,Region 296 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_AIP_R,Region 297 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_EC_R,Region 298 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PreS_R,Region 299 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_ProS_R,Region 301 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PeEc_R,Region 302 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STGa_R,Region 303 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PBelt_R,Region 304 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A5_R,Region 305 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA1_R,Region 306 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA3_R,Region 307 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSda_R,Region 308 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSdp_R,Region 309 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSvp_R,Region 310 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TGd_R,Region 311 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1a_R,Region 312 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1p_R,Region 313 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE2a_R,Region 314 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TF_R,Region 315 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE2p_R,Region 316 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHT_R,Region 317 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PH_R,Region 318 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ1_R,Region 319 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ2_R,Region 320 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TPOJ3_R,Region 321 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_DVT_R,Region 322 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGp_R,Region 323 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP2_R,Region 324 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP1_R,Region 325 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_IP0_R,Region 326 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFop_R,Region 327 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PF_R,Region 328 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PFm_R,Region 329 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGi_R,Region 330 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PGs_R,Region 331 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V6A_R,Region 332 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV1_R,Region 333 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV3_R,Region 334 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PHA2_R,Region 335 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V4t_R,Region 336 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FST_R,Region 337 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_V3CD_R,Region 338 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LO3_R,Region 339 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VMV2_R,Region 340 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31pd_R,Region 341 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_31a_R,Region 342 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_VVC_R,Region 343 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_25_R,Region 344 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_s32_R,Region 345 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_pOFC_R,Region 346 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PoI1_R,Region 347 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_Ig_R,Region 348 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_FOP5_R,Region 349 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p10p_R,Region 350 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p47r_R,Region 351 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TGv_R,Region 352 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_MBelt_R,Region 353 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_LBelt_R,Region 354 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_A4_R,Region 355 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_STSva_R,Region 356 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_TE1m_R,Region 357 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_PI_R,Region 358 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_a32pr_R,Region 359 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Ctx_p24_R,Region 360 from glasser_MNI152NLin6Asym,,,"",Glasser with registration fusion volume projection
Bstem_PBP_L,Region 10 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (left),,,"",CIT168
Bstem_VTA_L,Region 11 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (left),,,"",CIT168
Mamm_Nuc_L,Region 15 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (left),,,"",CIT168
Bstem_PBP_R,Region 10 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (right),,,"",CIT168
Bstem_VTA_R,Region 11 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (right),,,"",CIT168
Mamm_Nuc_R,Region 15 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (right),,,"",CIT168
Bstem_Midbrd_L,Region 251 from Shen_MNI152NLin6Asym (left),Diencephalic,Network_4 (left),"",Shen 268 parcellation (dilated)
Bstem_Midbd_L,Region 259 from Shen_MNI152NLin6Asym (left),Brainstem,Network_4 (left),"",Shen 268 parcellation (dilated)
Bstem_Midbrd_R,Region 126 from Shen_MNI152NLin6Asym (right),Diencephalic,Network_4 (right),"",Shen 268 parcellation (dilated)
Bstem_Midbd_R,Region 132 from Shen_MNI152NLin6Asym (right),Brainstem,Network_4 (right),"",Shen 268 parcellation (dilated)
Bstem_Ponscd_L,Region 263 from Shen_MNI152NLin6Asym (left),Brainstem,Network_4 (left),"",Shen 268 parcellation (dilated)
Bstem_Ponscv_L,Region 265 from Shen_MNI152NLin6Asym (left),Brainstem,Network_4 (left),"",Shen 268 parcellation (dilated)
Bstem_Pons_R,Region 130 from Shen_MNI152NLin6Asym (right),Brainstem,Network_4 (right),"",Shen 268 parcellation (dilated)
Bstem_Ponscv_R,Region 131 from Shen_MNI152NLin6Asym (right),Brainstem,Network_4 (right),"",Shen 268 parcellation (dilated)
Bstem_Ponscd_R,Region 133 from Shen_MNI152NLin6Asym (right),Brainstem,Network_4 (right),"",Shen 268 parcellation (dilated)
Bstem_Med_L,Region 262 from Shen_MNI152NLin6Asym (left),Brainstem,Network_4 (left),"",Shen 268 parcellation (dilated)
Bstem_Med_R,Region 129 from Shen_MNI152NLin6Asym (right),Brainstem,Network_4 (right),"",Shen 268 parcellation (dilated)
Thal_PuA_L,Medial pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuI_L,Inferior pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuL_L,Lateral pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuM_L,Anterior pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuA_R,Lateral geniculate nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuI_R,Medial geniculate nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuL_R,Suprageniculate nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_PuM_R,Limitans nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LGNmc_L,Posterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LGNpc_L,Central lateral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LGNmc_R,Central medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LGNpc_R,Medioventral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Li_L,Centre median nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MGN_L,Subparafascicular nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Po_L,Parafascicular nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_SG_L,Anterior dorsal nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Li_R,Anterior medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MGN_R,Anterior ventral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Po_R,Lateral posterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_SG_R,Lateral dorsl nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CeM_L,Medial dorsal nucleus (magnocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CL_L,Medial dorsal nucleus (parvocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CM_L,Ventral posterior lateral nucleus (anterior part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MV_L,Ventral posterior lateral nucleus (posterior part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Pf_L,Ventral posterior medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CeM_R,Ventral posterior inferior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CL_R,Ventral anterior nucleus (magnocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_CM_R,Ventral anterior nucleus (parvocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MV_R,Ventral lateral anterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_Pf_R,Ventral lateral posterior nucleus (drosal part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AD_L,Ventral lateral posterior nucleus (ventral part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AM_L,Ventral medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AV_L,Medial pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AD_R,Inferior pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AM_R,Lateral pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_AV_R,Anterior pulvinar,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LP_L,Lateral geniculate nucleus,Lateral Posterior,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LP_R,Medial geniculate nucleus,Lateral Posterior,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LD_L,Suprageniculate nucleus,Lateral dorsal,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_LD_R,Limitans nucleus,Lateral dorsal,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MDmc_L,Posterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MDpc_L,Central lateral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MDmc_R,Central medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_MDpc_R,Medioventral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPI_L,Centre median nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPLa_L,Subparafascicular nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPLp_L,Parafascicular nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPM_L,Anterior dorsal nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPI_R,Anterior medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPLa_R,Anterior ventral nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPLp_R,Lateral posterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VPM_R,Lateral dorsl nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VAmc_L,Medial dorsal nucleus (magnocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VApc_L,Medial dorsal nucleus (parvocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VAmc_R,Ventral posterior lateral nucleus (anterior part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VApc_R,Ventral posterior lateral nucleus (posterior part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLa_L,Ventral posterior medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLpd_L,Ventral posterior inferior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLpv_L,Ventral anterior nucleus (magnocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VM_L,Ventral anterior nucleus (parvocellular),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLa_R,Ventral lateral anterior nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLpd_R,Ventral lateral posterior nucleus (drosal part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VLpv_R,Ventral lateral posterior nucleus (ventral part),,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Thal_VM_R,Ventral medial nucleus,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Hythal_L,Region 1 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Hythal_R,Region 2 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Haben_L,Region 1 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
Haben_R,Region 2 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0,,,"Restricted (contact the secretariat of the Computer Vision Lab, ETH Zürich to confirm permission for use/distribution)",Morel
CA2_L,Region 23 from julich_fsl6,L_CA2 (Hippocampus),,"",Julich/Amunts
CA3_L,Region 24 from julich_fsl6,L_CA3 (Hippocampus),,"",Julich/Amunts
DG_L,Region 26 from julich_fsl6,L_DG (Hippocampus),,"",Julich/Amunts
CA1_L,Region 27 from julich_fsl6,L_CA1 (Hippocampus),,"",Julich/Amunts
HATA_L,Region 28 from julich_fsl6,L_HATA (Hippocampus),,"",Julich/Amunts
SF_L,Region 65 from julich_fsl6,L_SF (Amygdala),,"",Julich/Amunts
LB_L,Region 66 from julich_fsl6,L_LB (Amygdala),,"",Julich/Amunts
Subiculum_L,Region 67 from julich_fsl6,L_Subiculum (Hippocampus),,"",Julich/Amunts
CM_L,Region 101 from julich_fsl6,L_CM (Amygdala),,"",Julich/Amunts
CA2_R,Region 180 from julich_fsl6,R_CA2 (Hippocampus),,"",Julich/Amunts
CA3_R,Region 181 from julich_fsl6,R_CA3 (Hippocampus),,"",Julich/Amunts
DG_R,Region 183 from julich_fsl6,R_DG (Hippocampus),,"",Julich/Amunts
CA1_R,Region 184 from julich_fsl6,R_CA1 (Hippocampus),,"",Julich/Amunts
HATA_R,Region 185 from julich_fsl6,R_HATA (Hippocampus),,"",Julich/Amunts
SF_R,Region 222 from julich_fsl6,R_SF (Amygdala),,"",Julich/Amunts
LB_R,Region 223 from julich_fsl6,R_LB (Amygdala),,"",Julich/Amunts
Subiculum_R,Region 224 from julich_fsl6,R_Subiculum (Hippocampus),,"",Julich/Amunts
CM_R,Region 258 from julich_fsl6,R_CM (Amygdala),,"",Julich/Amunts
VTM_L,Region 73 from julich_fsl6,L_VTM (Amygdala),,"",Julich/Kedo
MF_L,Region 76 from julich_fsl6,L_MF (Amygdala),,"",Julich/Kedo
IF_L,Region 77 from julich_fsl6,L_IF (Amygdala),,"",Julich/Kedo
VTM_R,Region 230 from julich_fsl6,R_VTM (Amygdala),,"",Julich/Kedo
MF_R,Region 233 from julich_fsl6,R_MF (Amygdala),,"",Julich/Kedo
IF_R,Region 234 from julich_fsl6,R_IF (Amygdala),,"",Julich/Kedo
BST_SLEA_L,Region 4 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (left),,,"",CIT168
BST_SLEA_R,Region 4 from CIT168_MNI152NLin6Asym_subcortical_v1.1.0 (right),,,"",CIT168
NAc_shell_R,Region 24 from tian_3t_s4_fsl6,,,"",Tian
NAc_core_R,Region 25 from tian_3t_s4_fsl6,,,"",Tian
NAc_shell_L,Region 51 from tian_3t_s4_fsl6,,,"",Tian
NAc_core_L,Region 52 from tian_3t_s4_fsl6,,,"",Tian
CAU_VA_R,Region 17 from tian_3t_s4_fsl6,,,"",Tian
CAU_DA_R,Region 18 from tian_3t_s4_fsl6,,,"",Tian
CAU_body_R,Region 19 from tian_3t_s4_fsl6,,,"",Tian
CAU_tail_R,Region 20 from tian_3t_s4_fsl6,,,"",Tian
CAU_VA_L,Region 44 from tian_3t_s4_fsl6,,,"",Tian
CAU_DA_L,Region 45 from tian_3t_s4_fsl6,,,"",Tian
CAU_body_L,Region 46 from tian_3t_s4_fsl6,,,"",Tian
CAU_tail_L,Region 47 from tian_3t_s4_fsl6,,,"",Tian
PUT_VA_R,Region 13 from tian_3t_s4_fsl6,,,"",Tian
PUT_DA_R,Region 14 from tian_3t_s4_fsl6,,,"",Tian
PUT_VP_R,Region 15 from tian_3t_s4_fsl6,,,"",Tian
PUT_DP_R,Region 16 from tian_3t_s4_fsl6,,,"",Tian
PUT_VA_L,Region 40 from tian_3t_s4_fsl6,,,"",Tian
PUT_DA_L,Region 41 from tian_3t_s4_fsl6,,,"",Tian
PUT_VP_L,Region 42 from tian_3t_s4_fsl6,,,"",Tian
PUT_DP_L,Region 43 from tian_3t_s4_fsl6,,,"",Tian
pGP_R,Region 26 from tian_3t_s4_fsl6,,,"",Tian
aGP_R,Region 27 from tian_3t_s4_fsl6,,,"",Tian
pGP_L,Region 53 from tian_3t_s4_fsl6,,,"",Tian
aGP_L,Region 54 from tian_3t_s4_fsl6,,,"",Tian
Cblm_I_IV_L,Region 1 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_I_IV_R,Region 2 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_V_L,Region 3 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_V_R,Region 4 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_VI_L,Region 5 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_Vermis_VI,Region 6 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_VI_R,Region 7 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_CrusI_L,Region 8 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_CrusI_R,Region 10 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_CrusII_L,Region 11 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_Vermis_CrusII,Region 12 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_CrusII_R,Region 13 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_VIIb_L,Region 14 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_Vermis_VIIb,Region 15 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_VIIb_R,Region 16 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_VIIIa_L,Region 17 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
Cblm_Vermis_VIIIa,Region 18 from SUIT_Cerebellum_MNI,,,"",SUIT/Diedrichsen
